Customer_Name,Customer_Id,Open_Date,Last_Consulted_Date,Vaccination_Id,Dr_Name,State,Country,DOB,Is_Active
Alex,123457,20101012,20121013,MVD,Paul,SA,USA,06031987,A
John,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Mathew,123459,20101012,20121013,MVD,Paul,WAS,PHIL,06031987,A
Mathew,123459,20101012,20121013,MVD,,WAS,PHIL,06031987,A
Matt,12345,20101012,20121013,MVD,Paul,BOS,NYC,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
John1,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
John2,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Alex,123457,20101012,20121013,MVD,Paul,SA,USA,06031987,A
John,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Mathew,123459,20101012,20121013,MVD,Paul,WAS,PHIL,06031987,A
Mathew,123459,20101012,20121013,MVD,,WAS,PHIL,06031987,A
Matt,12345,20101012,20121013,MVD,Paul,BOS,NYC,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
John1,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
John2,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Alex,123457,20101012,20121013,MVD,Paul,SA,USA,06031987,A
John,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Mathew,123459,20101012,20121013,MVD,Paul,WAS,PHIL,06031987,A
Mathew,123459,20101012,20121013,MVD,,WAS,PHIL,06031987,A
Matt,12345,20101012,20121013,MVD,Paul,BOS,NYC,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
John1,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
John2,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Alex,123457,20101012,20121013,MVD,Paul,SA,USA,06031987,A
John,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
Mathew,123459,20101012,20121013,MVD,Paul,WAS,PHIL,06031987,A
Mathew,123459,20101012,20121013,MVD,,WAS,PHIL,06031987,A
Matt,12345,20101012,20121013,MVD,Paul,BOS,NYC,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
Jacob,1256,20101012,20121013,MVD,Paul,VIC,AU,06031987,A
John1,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
John2,123458,20101012,20121013,MVD,Paul,TN,IND,06031987,A
